Month,Municipality,Nb.Floor,Nb.Room,Garage,Garden,Furnished,Promise,New.Project,Announcer.Type,price_m2,Region
Jul,EL ACHOUR,1,3,TRUE,FALSE,FALSE,TRUE,TRUE,BUREAU D'AFFAIRE,258823.5294117647,WEST
Jul,EL HARRACH,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,PARTICULIER,133333.33333333334,NORTH
Jul,HUSSEIN DEY,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,149253.73134328358,NORTH
Jul,MAHELMA,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,AGENCE,128571.42857142857,WEST
Jul,SIDI MOUSSA,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,161290.32258064515,SOUTH
Jul,SOUIDANIA,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,177777.77777777778,WEST
Jul,STAOUELI,1,3,TRUE,FALSE,FALSE,TRUE,TRUE,BUREAU D'AFFAIRE,272222.22222222225,WEST
Jul,ZERALDA,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,AGENCE,15e4,WEST
Jul,BABA HASSEN,4,4,FALSE,TRUE,FALSE,FALSE,FALSE,PARTICULIER,156862.74509803922,WEST
Jul,EL ACHOUR,1,4,TRUE,FALSE,FALSE,TRUE,TRUE,BUREAU D'AFFAIRE,247126.4367816092,WEST
Jul,EL ACHOUR,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,176923.07692307694,WEST
Jul,EL ACHOUR,1,4,FALSE,FALSE,FALSE,FALSE,TRUE,BUREAU D'AFFAIRE,342857.14285714284,WEST
Jul,STAOUELI,1,4,FALSE,FALSE,FALSE,TRUE,TRUE,BUREAU D'AFFAIRE,259090.9090909091,WEST
Jul,EL ACHOUR,1,5,TRUE,FALSE,FALSE,TRUE,TRUE,BUREAU D'AFFAIRE,344e3,WEST
Jul,AIN BENIAN,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,2e5,WEST
Jul,BABA HASSEN,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,211538.46153846153,WEST
Jul,BIR KHADEM,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,193750,NORTH
Jul,BORDJ EL BAHRI,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,PARTICULIER,81395.3488372093,EAST
Jul,ALGER,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,295454.54545454547,NORTH
Jul,DRARIA,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,217171.71717171717,WEST
Jul,DRARIA,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,AGENCE,255102.04081632654,WEST
Jul,DRARIA,1,3,TRUE,FALSE,TRUE,FALSE,FALSE,AGENCE,194444.44444444444,WEST
Jul,KOUBA,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,PARTICULIER,306666.6666666667,NORTH
Jul,LES EUCALYPTUS,1,3,FALSE,TRUE,TRUE,FALSE,FALSE,PARTICULIER,89230.76923076923,SOUTH
Jul,ROUIBA,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,320512.8205128205,EAST
Jul,BIR MOURAD RAIS,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,329059.82905982906,NORTH
Jul,SOUIDANIA,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,11e4,WEST
Jul,BEB EZZOUAR,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,265306.1224489796,EAST
Jul,BABA HASSEN,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,155555.55555555556,WEST
Jul,BORDJ EL KIFFAN,1,4,FALSE,FALSE,FALSE,TRUE,TRUE,PARTICULIER,8e4,EAST
Jul,ALGER,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,2e5,NORTH
Jul,BABA HASSEN,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,193055.55555555556,WEST
Jul,ALGER,8,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,147727.27272727274,NORTH
Jul,ALGER,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,142857.14285714287,NORTH
Jul,DRARIA,10,3,FALSE,FALSE,FALSE,TRUE,FALSE,PARTICULIER,162162.16216216216,WEST
Jul,EL ACHOUR,2,3,TRUE,TRUE,FALSE,TRUE,TRUE,PARTICULIER,235294.11764705883,WEST
Jul,DJISR KSENTINA,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,225e3,SOUTH
Jul,MAHELMA,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,102739.72602739726,WEST
Jul,MOHAMMADIA,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,245714.2857142857,NORTH
Jul,REGHAIA,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,113333.33333333333,EAST
Jul,STAOUELI,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,88888.88888888889,WEST
Jul,BARAKI,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,144444.44444444444,SOUTH
Jul,CHERAGA,1,4,TRUE,FALSE,FALSE,FALSE,TRUE,PARTICULIER,25e4,WEST
Jul,BAINS ROMAINS,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,255813.9534883721,NORTH
Jul,STAOUELI,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,146153.84615384616,WEST
Jul,DELY BRAHIM,1,5,TRUE,FALSE,FALSE,FALSE,FALSE,AGENCE,273722.62773722626,WEST
Jul,BAB EL OUED,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,147435.89743589744,NORTH
Jul,BEB EZZOUAR,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,274285.71428571426,EAST
Jul,BEB EZZOUAR,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,226666.66666666666,EAST
Jul,BEB EZZOUAR,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,226666.66666666666,EAST
Jul,BORDJ EL BAHRI,4,3,TRUE,FALSE,FALSE,FALSE,TRUE,BUREAU D'AFFAIRE,93750,EAST
Jul,BORDJ EL KIFFAN,4,3,TRUE,FALSE,FALSE,FALSE,TRUE,BUREAU D'AFFAIRE,111764.70588235294,EAST
Jul,BAINS ROMAINS,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,213333.33333333334,NORTH
Jul,BAINS ROMAINS,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,PARTICULIER,133333.33333333334,NORTH
